system:index,area_m2,.geo
"59045,-11127",73219.71143499737,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.59771851039346,-28.94541136192985],[153.60031987746112,-28.94541136192985],[153.60031987746112,-28.94280999486218],[153.59771851039346,-28.94280999486218],[153.59771851039346,-28.94541136192985]]]}"
"59046,-11127",73219.71143437758,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.60031987746112,-28.94541136192985],[153.60292124452877,-28.94541136192985],[153.60292124452877,-28.94280999486218],[153.60031987746112,-28.94280999486218],[153.60031987746112,-28.94541136192985]]]}"
"59047,-11127",73219.71143588492,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.60292124452877,-28.94541136192985],[153.60552261159646,-28.94541136192985],[153.60552261159646,-28.94280999486218],[153.60292124452877,-28.94280999486218],[153.60292124452877,-28.94541136192985]]]}"
"59048,-11127",73219.71143504129,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.60552261159646,-28.94541136192985],[153.6081239786641,-28.94541136192985],[153.6081239786641,-28.94280999486218],[153.60552261159646,-28.94280999486218],[153.60552261159646,-28.94541136192985]]]}"
"59049,-11127",73219.71143515561,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.6081239786641,-28.94541136192985],[153.6107253457318,-28.94541136192985],[153.6107253457318,-28.94280999486218],[153.6081239786641,-28.94280999486218],[153.6081239786641,-28.94541136192985]]]}"
"59050,-11127",73219.71143507483,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.6107253457318,-28.94541136192985],[153.61332671279945,-28.94541136192985],[153.61332671279945,-28.94280999486218],[153.6107253457318,-28.94280999486218],[153.6107253457318,-28.94541136192985]]]}"
"59051,-11127",73219.71143505028,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.61332671279945,-28.94541136192985],[153.61592807986713,-28.94541136192985],[153.61592807986713,-28.94280999486218],[153.61332671279945,-28.94280999486218],[153.61332671279945,-28.94541136192985]]]}"
"59030,-11126",73221.54984197611,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.55869800437844,-28.94280999486218],[153.56129937144613,-28.94280999486218],[153.56129937144613,-28.940208627794515],[153.55869800437844,-28.940208627794515],[153.55869800437844,-28.94280999486218]]]}"
"59031,-11126",73221.54984069437,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.56129937144613,-28.94280999486218],[153.56390073851378,-28.94280999486218],[153.56390073851378,-28.940208627794515],[153.56129937144613,-28.940208627794515],[153.56129937144613,-28.94280999486218]]]}"
"59032,-11126",73221.54984137334,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.56390073851378,-28.94280999486218],[153.56650210558143,-28.94280999486218],[153.56650210558143,-28.940208627794515],[153.56390073851378,-28.940208627794515],[153.56390073851378,-28.94280999486218]]]}"
"59033,-11126",73221.54984204697,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.56650210558143,-28.94280999486218],[153.56910347264912,-28.94280999486218],[153.56910347264912,-28.940208627794515],[153.56650210558143,-28.940208627794515],[153.56650210558143,-28.94280999486218]]]}"
"59034,-11126",73221.5498406346,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.56910347264912,-28.94280999486218],[153.57170483971677,-28.94280999486218],[153.57170483971677,-28.940208627794515],[153.56910347264912,-28.940208627794515],[153.56910347264912,-28.94280999486218]]]}"
"59035,-11126",73221.54984209016,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.57170483971677,-28.94280999486218],[153.57430620678446,-28.94280999486218],[153.57430620678446,-28.940208627794515],[153.57170483971677,-28.940208627794515],[153.57170483971677,-28.94280999486218]]]}"
"59036,-11126",73221.54984049327,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.57430620678446,-28.94280999486218],[153.5769075738521,-28.94280999486218],[153.5769075738521,-28.940208627794515],[153.57430620678446,-28.940208627794515],[153.57430620678446,-28.94280999486218]]]}"
"59037,-11126",73221.5498420867,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.5769075738521,-28.94280999486218],[153.5795089409198,-28.94280999486218],[153.5795089409198,-28.940208627794515],[153.5769075738521,-28.940208627794515],[153.5769075738521,-28.94280999486218]]]}"
"59038,-11126",73221.54984059435,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.5795089409198,-28.94280999486218],[153.58211030798745,-28.94280999486218],[153.58211030798745,-28.940208627794515],[153.5795089409198,-28.940208627794515],[153.5795089409198,-28.94280999486218]]]}"
"59039,-11126",73221.54984123757,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.58211030798745,-28.94280999486218],[153.5847116750551,-28.94280999486218],[153.5847116750551,-28.940208627794515],[153.58211030798745,-28.940208627794515],[153.58211030798745,-28.94280999486218]]]}"
"59040,-11126",73221.54984143822,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.5847116750551,-28.94280999486218],[153.5873130421228,-28.94280999486218],[153.5873130421228,-28.940208627794515],[153.5847116750551,-28.940208627794515],[153.5847116750551,-28.94280999486218]]]}"
"59041,-11126",73221.54984135296,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.5873130421228,-28.94280999486218],[153.58991440919044,-28.94280999486218],[153.58991440919044,-28.940208627794515],[153.5873130421228,-28.940208627794515],[153.5873130421228,-28.94280999486218]]]}"
"59042,-11126",73221.54984130689,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[153.58991440919044,-28.94280999486218],[153.59251577625813,-28.94280999486218],[153.59251577625813,-28.940208627794515],[153.58991440919044,-28.940208627794515],[153.58991440919044,-28.94280999486218]]]}"
